"retrascore","ano","pacientes_n","desenlace_conocido_n","muertes_n","mortalidad_porcentaje","exactitud_evaluable_n","clasificaciones_correctas_n","exactitud_porcentaje"
"-1",2015,75,75,0,0,75,75,100
"0",2015,143,143,0,0,143,143,100
"1",2015,139,139,0,0,139,139,100
"2",2015,118,118,2,1.69491525423729,118,116,98.3050847457627
"3",2015,102,102,4,3.92156862745098,102,98,96.078431372549
"4",2015,93,93,3,3.2258064516129,93,90,96.7741935483871
"5",2015,106,106,9,8.49056603773585,106,97,91.5094339622642
"6",2015,69,69,8,11.5942028985507,69,61,88.4057971014493
"7",2015,73,73,16,21.9178082191781,73,57,78.0821917808219
"8",2015,52,52,15,28.8461538461538,52,37,71.1538461538462
"9",2015,34,34,15,44.1176470588235,34,19,55.8823529411765
"10",2015,20,20,6,30,20,11,55
"11",2015,22,22,11,50,22,12,54.5454545454545
"12",2015,19,19,10,52.6315789473684,19,10,52.6315789473684
"13",2015,9,9,8,88.8888888888889,9,8,88.8888888888889
"14+",2015,34,34,34,100,34,34,100
"-1",2016,118,118,0,0,118,118,100
"0",2016,237,237,0,0,237,237,100
"1",2016,235,235,1,0.425531914893617,235,234,99.5744680851064
"2",2016,194,194,3,1.54639175257732,194,191,98.4536082474227
"3",2016,152,152,6,3.94736842105263,152,146,96.0526315789474
"4",2016,151,151,11,7.28476821192053,151,140,92.7152317880795
"5",2016,148,148,14,9.45945945945946,148,134,90.5405405405405
"6",2016,140,140,19,13.5714285714286,140,121,86.4285714285714
"7",2016,107,107,30,28.0373831775701,107,77,71.9626168224299
"8",2016,87,86,27,31.3953488372093,86,59,68.6046511627907
"9",2016,56,56,26,46.4285714285714,56,30,53.5714285714286
"10",2016,39,39,18,46.1538461538462,39,23,58.974358974359
"11",2016,42,41,25,60.9756097560976,41,26,63.4146341463415
"12",2016,30,30,24,80,30,24,80
"13",2016,16,16,9,56.25,16,9,56.25
"14+",2016,58,58,56,96.551724137931,58,56,96.551724137931
"-1",2017,132,132,0,0,132,132,100
"0",2017,250,250,0,0,250,250,100
"1",2017,274,274,3,1.09489051094891,274,271,98.9051094890511
"2",2017,214,214,2,0.934579439252336,214,212,99.0654205607477
"3",2017,190,190,4,2.10526315789474,190,186,97.8947368421053
"4",2017,174,174,6,3.44827586206897,174,168,96.551724137931
"5",2017,166,166,13,7.83132530120482,166,153,92.1686746987952
"6",2017,117,117,8,6.83760683760684,117,109,93.1623931623932
"7",2017,110,110,21,19.0909090909091,110,89,80.9090909090909
"8",2017,77,77,22,28.5714285714286,77,55,71.4285714285714
"9",2017,52,52,15,28.8461538461538,52,38,73.0769230769231
"10",2017,45,44,17,38.6363636363636,44,29,65.9090909090909
"11",2017,29,29,21,72.4137931034483,29,21,72.4137931034483
"12",2017,28,28,23,82.1428571428571,28,23,82.1428571428571
"13",2017,15,15,13,86.6666666666667,15,13,86.6666666666667
"14+",2017,44,44,42,95.4545454545455,44,42,95.4545454545455
"-1",2018,94,94,0,0,94,94,100
"0",2018,227,227,0,0,227,227,100
"1",2018,248,247,0,0,247,247,100
"2",2018,175,175,0,0,175,175,100
"3",2018,151,151,4,2.64900662251656,151,147,97.3509933774834
"4",2018,158,158,6,3.79746835443038,158,152,96.2025316455696
"5",2018,157,157,14,8.9171974522293,157,143,91.0828025477707
"6",2018,124,124,12,9.67741935483871,124,112,90.3225806451613
"7",2018,102,101,17,16.8316831683168,101,84,83.1683168316832
"8",2018,72,72,17,23.6111111111111,72,55,76.3888888888889
"9",2018,57,57,25,43.859649122807,57,31,54.3859649122807
"10",2018,54,54,28,51.8518518518518,54,28,51.8518518518518
"11",2018,35,35,17,48.5714285714286,35,18,51.4285714285714
"12",2018,21,21,16,76.1904761904762,21,16,76.1904761904762
"13",2018,15,15,13,86.6666666666667,15,13,86.6666666666667
"14+",2018,52,51,50,98.0392156862745,51,50,98.0392156862745
"-1",2019,117,117,0,0,117,117,100
"0",2019,258,258,0,0,258,258,100
"1",2019,256,256,1,0.390625,256,255,99.609375
"2",2019,178,178,2,1.12359550561798,178,176,98.876404494382
"3",2019,136,136,2,1.47058823529412,136,134,98.5294117647059
"4",2019,136,136,11,8.08823529411765,136,125,91.9117647058823
"5",2019,128,128,7,5.46875,128,121,94.53125
"6",2019,107,107,13,12.1495327102804,107,94,87.8504672897196
"7",2019,97,97,29,29.8969072164948,97,68,70.1030927835051
"8",2019,70,70,31,44.2857142857143,70,39,55.7142857142857
"9",2019,45,45,26,57.7777777777778,45,19,42.2222222222222
"10",2019,37,37,22,59.4594594594595,37,14,37.8378378378378
"11",2019,24,24,17,70.8333333333333,24,17,70.8333333333333
"12",2019,13,13,10,76.9230769230769,13,10,76.9230769230769
"13",2019,18,18,12,66.6666666666667,18,12,66.6666666666667
"14+",2019,48,48,45,93.75,48,45,93.75
"-1",2020,75,75,0,0,75,75,100
"0",2020,187,187,0,0,187,187,100
"1",2020,166,166,0,0,166,166,100
"2",2020,141,141,4,2.83687943262411,141,137,97.1631205673759
"3",2020,92,92,3,3.26086956521739,92,89,96.7391304347826
"4",2020,94,94,2,2.12765957446809,94,92,97.8723404255319
"5",2020,95,95,9,9.47368421052632,95,86,90.5263157894737
"6",2020,73,73,6,8.21917808219178,73,67,91.7808219178082
"7",2020,68,68,17,25,68,51,75
"8",2020,45,45,17,37.7777777777778,45,28,62.2222222222222
"9",2020,33,33,10,30.3030303030303,33,22,66.6666666666667
"10",2020,25,25,15,60,25,11,44
"11",2020,18,18,11,61.1111111111111,18,10,55.5555555555556
"12",2020,20,20,17,85,20,17,85
"13",2020,13,13,11,84.6153846153846,13,11,84.6153846153846
"14+",2020,22,22,18,81.8181818181818,22,18,81.8181818181818
"-1",2021,86,86,0,0,86,86,100
"0",2021,178,178,1,0.561797752808989,178,177,99.438202247191
"1",2021,170,170,0,0,170,170,100
"2",2021,131,131,0,0,131,131,100
"3",2021,114,114,2,1.75438596491228,114,112,98.2456140350877
"4",2021,106,106,6,5.66037735849057,106,100,94.3396226415094
"5",2021,109,109,6,5.5045871559633,109,103,94.4954128440367
"6",2021,67,67,7,10.4477611940298,67,60,89.5522388059701
"7",2021,59,59,12,20.3389830508475,59,47,79.6610169491525
"8",2021,54,54,22,40.7407407407407,54,32,59.2592592592593
"9",2021,37,37,9,24.3243243243243,37,29,78.3783783783784
"10",2021,22,22,8,36.3636363636364,22,10,45.4545454545455
"11",2021,21,21,10,47.6190476190476,21,11,52.3809523809524
"12",2021,16,16,11,68.75,16,11,68.75
"13",2021,7,7,5,71.4285714285714,7,5,71.4285714285714
"14+",2021,25,25,20,80,25,20,80
"-1",2022,62,62,0,0,62,62,100
"0",2022,151,151,0,0,151,151,100
"1",2022,150,150,1,0.666666666666667,150,149,99.3333333333333
"2",2022,139,139,1,0.719424460431655,139,138,99.2805755395683
"3",2022,104,104,2,1.92307692307692,104,102,98.0769230769231
"4",2022,104,104,15,14.4230769230769,104,89,85.5769230769231
"5",2022,89,89,4,4.49438202247191,89,85,95.5056179775281
"6",2022,86,86,9,10.4651162790698,86,77,89.5348837209302
"7",2022,76,76,15,19.7368421052632,76,61,80.2631578947368
"8",2022,62,62,20,32.258064516129,62,42,67.741935483871
"9",2022,38,37,16,43.2432432432432,37,22,59.4594594594595
"10",2022,20,20,10,50,20,14,70
"11",2022,16,16,9,56.25,16,10,62.5
"12",2022,15,15,10,66.6666666666667,15,10,66.6666666666667
"13",2022,11,11,9,81.8181818181818,11,9,81.8181818181818
"14+",2022,34,34,32,94.1176470588235,34,32,94.1176470588235
"-1",2023,122,122,1,0.819672131147541,122,121,99.1803278688525
"0",2023,286,286,0,0,286,286,100
"1",2023,270,270,0,0,270,270,100
"2",2023,218,218,3,1.37614678899083,218,215,98.6238532110092
"3",2023,181,181,3,1.65745856353591,181,178,98.3425414364641
"4",2023,141,141,9,6.38297872340426,141,132,93.6170212765958
"5",2023,146,146,15,10.2739726027397,146,131,89.7260273972603
"6",2023,102,102,19,18.6274509803922,102,83,81.3725490196078
"7",2023,84,84,14,16.6666666666667,84,70,83.3333333333333
"8",2023,58,58,19,32.7586206896552,58,39,67.2413793103448
"9",2023,50,50,22,44,50,28,56
"10",2023,27,27,14,51.8518518518518,27,14,51.8518518518518
"11",2023,24,24,20,83.3333333333333,24,20,83.3333333333333
"12",2023,22,22,16,72.7272727272727,22,16,72.7272727272727
"13",2023,26,26,24,92.3076923076923,26,24,92.3076923076923
"14+",2023,31,31,27,87.0967741935484,31,27,87.0967741935484
"-1",2024,94,94,0,0,94,94,100
"0",2024,234,234,0,0,234,234,100
"1",2024,220,220,0,0,220,220,100
"2",2024,200,200,0,0,200,200,100
"3",2024,137,137,3,2.18978102189781,137,134,97.8102189781022
"4",2024,141,141,7,4.9645390070922,141,134,95.0354609929078
"5",2024,139,139,10,7.19424460431655,139,129,92.8057553956834
"6",2024,100,100,13,13,100,87,87
"7",2024,93,93,25,26.8817204301075,93,68,73.1182795698925
"8",2024,70,70,31,44.2857142857143,70,39,55.7142857142857
"9",2024,42,42,19,45.2380952380952,42,23,54.7619047619048
"10",2024,26,26,16,61.5384615384615,26,9,34.6153846153846
"11",2024,18,18,10,55.5555555555556,18,10,55.5555555555556
"12",2024,22,22,18,81.8181818181818,22,18,81.8181818181818
"13",2024,11,11,9,81.8181818181818,11,9,81.8181818181818
"14+",2024,30,29,26,89.6551724137931,29,26,89.6551724137931
"-1",2025,103,103,0,0,103,103,100
"0",2025,215,215,0,0,215,215,100
"1",2025,219,219,1,0.45662100456621,219,218,99.5433789954338
"2",2025,182,182,0,0,182,182,100
"3",2025,140,140,4,2.85714285714286,140,136,97.1428571428571
"4",2025,146,146,12,8.21917808219178,146,134,91.7808219178082
"5",2025,128,128,14,10.9375,128,114,89.0625
"6",2025,119,119,18,15.1260504201681,119,101,84.8739495798319
"7",2025,87,87,23,26.4367816091954,87,64,73.5632183908046
"8",2025,61,60,20,33.3333333333333,60,40,66.6666666666667
"9",2025,48,48,25,52.0833333333333,48,24,50
"10",2025,29,29,21,72.4137931034483,29,13,44.8275862068966
